id_municipio;Entidad;vozfijat212;vozfijat213;vozfijat214;vozfijat215;vozfijat216;vozfijat217;vozfijat218;vozfijat219;vozfijat220;vozfijat221;vozfijat222;vozfijat223;vozfijat224;vozfijat225;vozfijat226;vozfijat227;vozfijat228;vozfijat229;vozfijat230;vozfijat231;vozfijat232;vozfijat233;vozfijat234;vozfijat235
5042;Santafé de Antioquia;.14941232;.14846069;.14750664;.1465459;.14557321;.14458327;.14357187;.14253306;.14145981;.14034632;.13919096;.13799734;.13677028;.13551536;.13423856;.13294539;.13164064;.13032746;.12900908;.12768956;.12636481;.12503424;.12369909;.12236179
5044;Anzá;.024951903;.024436131;.023919784;.023401855;.022881562;.022358242;.021831265;.021300012;.02076396;.020223001;.019677863;.019130263;.018581772;.018034309;.017490065;.016950766;.01641777;.015891816;.015373277;.014862059;.014356376;.013854288;.013353936;.012854103
5045;Apartadó;.076754317;.075237565;.073719151;.072196737;.070668615;.069133878;.067592762;.066045411;.064493343;.062941208;.06139702;.059871972;.058375515;.056915004;.055495225;.054118041;.05278258;.051485453;.050222103;.048987851;.047772788;.0465689;.045370378;.04417365
5051;Arboletes;.028509224;.028019981;.027529512;.027035559;.026535142;.026024653;.025500387;.024959102;.024398331;.023816794;.023215065;.022595612;.021960931;.0213133;.020654419;.019985385;.019306922;.018619273;.017922817;.017219158;.016509522;.01579628;.015081305;.014365803
5055;Argelia;.043776724;.042289641;.040801786;.039312236;.037821017;.036328536;.034836527;.033349436;.031871781;.030408805;.028967567;.02755728;.026184803;.024854567;.023568558;.022326319;.021125518;.019962395;.018832289;.01772923;.016646041;.015576033;.014513283;.013453186
5059;Armenia;.051336434;.056570366;.061816789;.067096815;.072436318;.077862576;.083400004;.08906354;.094854772;.10075832;.10673796;.11275549;.11876194;.12469105;.13044682;.13588627;.14081633;.14498912;.14829016;.15073399;.15246384;.15375765;.15482317;.15581191
5079;Barbosa;.23328276;.22865967;.22403339;.21940024;.21475919;.21010992;.20545208;.20078757;.19611794;.19144414;.18676752;.18209055;.17741619;.1727481;.168091;.16344811;.15882166;.15421286;.14962117;.14504467;.14048035;.13592508;.13137592;.12682994
5086;Belmira;.055022396;.054315247;.053606264;.052892536;.052170735;.051436912;.050687086;.049917124;.049122974;.048301432;.047452338;.046578296;.045682449;.044768501;.043840021;.042900208;.041952118;.040998664;.040042035;.039083906;.038124677;.037165616;.036206827;.035248194
5088;Bello;.2732836;.2707859;.26828635;.26578668;.26329336;.26081446;.25835627;.25592661;.25353307;.25118268;.24888183;.24663688;.24445248;.24233209;.24027778;.23828892;.23636222;.23449184;.23266938;.23088491;.22912835;.22739024;.22566259;.22393918
5091;Betania;.053751264;.053022504;.052292313;.051557902;.050815735;.050061937;.049292583;.048503716;.047692902;.046859954;.046008315;.045145351;.044277716;.043411795;.042552542;.041703422;.040866613;.04004319;.039233118;.038434595;.037643742;.036857788;.036074106;.035291206
